08:28:46.909 INFO  SIP2_GIS_SERVICE. [List Show] 
08:55:26.021 INFO  SIP2_GIS_SERVICE. [List Show] 
09:08:09.945 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5514998] [77.2654686], [Live Location] 
09:08:09.962 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5514998] [77.2654686], [Live Location] 
09:08:20.725 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5514998] [77.2654686], [Live Location] 
09:08:20.743 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5514998] [77.2654686], [Live Location] 
09:08:31.702 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515035] [77.2654433], [Live Location] 
09:08:31.720 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515035] [77.2654433], [Live Location] 
09:08:35.915 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5515178] [77.2647589], [Live Location] 
09:08:35.927 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5515178] [77.2647589], [Live Location] 
09:08:38.895 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504225] [77.2654189], [Live Location] 
09:08:38.915 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504225] [77.2654189], [Live Location] 
09:08:42.743 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515035] [77.2654433], [Live Location] 
09:08:42.760 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515035] [77.2654433], [Live Location] 
09:08:53.741 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515035] [77.2654433], [Live Location] 
09:08:53.762 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515035] [77.2654433], [Live Location] 
09:09:04.724 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515035] [77.2654433], [Live Location] 
09:09:04.741 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515035] [77.2654433], [Live Location] 
09:09:05.907 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5508959] [77.2653297], [Live Location] 
09:09:05.927 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5508959] [77.2653297], [Live Location] 
09:09:09.317 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504133] [77.2654265], [Live Location] 
09:09:09.334 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504133] [77.2654265], [Live Location] 
09:09:15.065 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515067] [77.2654422], [Live Location] 
09:09:15.084 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515067] [77.2654422], [Live Location] 
09:09:25.681 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515067] [77.2654422], [Live Location] 
09:09:25.700 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515067] [77.2654422], [Live Location] 
09:09:27.317 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504631] [77.2657299], [Live Location] 
09:09:27.330 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504631] [77.2657299], [Live Location] 
09:09:36.576 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5481183] [77.2661869], [Live Location] 
09:09:36.594 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5481183] [77.2661869], [Live Location] 
09:09:36.697 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515067] [77.2654422], [Live Location] 
09:09:36.716 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515067] [77.2654422], [Live Location] 
09:09:46.719 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515067] [77.2654422], [Live Location] 
09:09:46.737 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515067] [77.2654422], [Live Location] 
09:09:56.694 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515067] [77.2654422], [Live Location] 
09:09:56.715 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515067] [77.2654422], [Live Location] 
09:10:05.868 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5516086] [77.2655035], [Live Location] 
09:10:05.891 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5516086] [77.2655035], [Live Location] 
09:10:06.760 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515084] [77.2654446], [Live Location] 
09:10:06.798 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515084] [77.2654446], [Live Location] 
09:10:09.410 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504092] [77.2654271], [Live Location] 
09:10:09.427 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504092] [77.2654271], [Live Location] 
09:10:16.784 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515084] [77.2654446], [Live Location] 
09:10:16.806 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515084] [77.2654446], [Live Location] 
09:10:26.741 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515084] [77.2654446], [Live Location] 
09:10:26.755 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515084] [77.2654446], [Live Location] 
09:10:35.847 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5514914] [77.2655529], [Live Location] 
09:10:35.859 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5514914] [77.2655529], [Live Location] 
09:10:36.755 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515102] [77.2654504], [Live Location] 
09:10:36.778 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515102] [77.2654504], [Live Location] 
09:10:39.385 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504099] [77.2654312], [Live Location] 
09:10:39.403 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504099] [77.2654312], [Live Location] 
09:10:46.764 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515102] [77.2654504], [Live Location] 
09:10:46.793 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515102] [77.2654504], [Live Location] 
09:10:57.743 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515102] [77.2654504], [Live Location] 
09:10:57.761 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515102] [77.2654504], [Live Location] 
09:11:06.785 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515134] [77.2654537], [Live Location] 
09:11:06.802 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515134] [77.2654537], [Live Location] 
09:11:09.441 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504168] [77.2654294], [Live Location] 
09:11:09.463 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504168] [77.2654294], [Live Location] 
09:11:11.428 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5509685] [77.2654227], [Live Location] 
09:11:11.446 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5509685] [77.2654227], [Live Location] 
09:11:16.788 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515134] [77.2654537], [Live Location] 
09:11:16.807 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515134] [77.2654537], [Live Location] 
09:11:26.845 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515134] [77.2654537], [Live Location] 
09:11:26.861 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515134] [77.2654537], [Live Location] 
09:11:36.821 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515134] [77.2654537], [Live Location] 
09:11:36.840 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515134] [77.2654537], [Live Location] 
09:11:39.827 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504147] [77.2654286], [Live Location] 
09:11:39.844 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504147] [77.2654286], [Live Location] 
09:11:46.864 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515073] [77.2654441], [Live Location] 
09:11:46.881 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515073] [77.2654441], [Live Location] 
09:11:51.272 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5510123] [77.2652706], [Live Location] 
09:11:51.290 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5510123] [77.2652706], [Live Location] 
09:11:57.724 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515073] [77.2654441], [Live Location] 
09:11:57.747 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515073] [77.2654441], [Live Location] 
09:12:07.775 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515073] [77.2654441], [Live Location] 
09:12:07.792 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515073] [77.2654441], [Live Location] 
09:12:09.864 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504179] [77.2654335], [Live Location] 
09:12:09.881 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504179] [77.2654335], [Live Location] 
09:12:17.814 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515073] [77.2654441], [Live Location] 
09:12:17.868 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515073] [77.2654441], [Live Location] 
09:12:27.123 INFO  SIP2_GIS_SERVICE.[9560597211] [28.551185] [77.2655586], [Live Location] 
